system:index,O3_column_number_density,city,.geo
63,0.13326197845786955,Ghaziabad,"{""type"":""Point"",""coordinates"":[77.4538,28.669200000000004]}"
64,0.12717841563167928,Giridih,"{""type"":""Point"",""coordinates"":[86.3077,24.184399999999997]}"
65,0.12180684933607892,Gopalpur,"{""type"":""Point"",""coordinates"":[84.9053,19.2583]}"
66,0.12085092696541556,Gulbarga,"{""type"":""Point"",""coordinates"":[76.8343,17.329700000000003]}"
67,0.12612148514697122,Guna,"{""type"":""Point"",""coordinates"":[77.311,24.6476]}"
68,0.1202583699273241,Guntur,"{""type"":""Point"",""coordinates"":[80.4365,16.3067]}"
69,0.13275105273562676,Gurgaon,"{""type"":""Point"",""coordinates"":[77.0266,28.4595]}"
70,0.1295308675888823,Guwahati,"{""type"":""Point"",""coordinates"":[91.7362,26.1445]}"
71,0.12869585373534467,Gwalior,"{""type"":""Point"",""coordinates"":[78.1828,26.2183]}"
72,0.13503799079170342,Hanumangarh,"{""type"":""Point"",""coordinates"":[74.32940000000002,29.581800000000005]}"
73,0.13344974768154266,Hapur,"{""type"":""Point"",""coordinates"":[77.7759,28.7306]}"
74,0.13408962310202915,Hisar,"{""type"":""Point"",""coordinates"":[75.7217,29.149199999999997]}"
75,0.11798554035697464,Hosur,"{""type"":""Point"",""coordinates"":[77.8253,12.740100000000002]}"
76,0.1252128753238192,Howrah,"{""type"":""Point"",""coordinates"":[88.26360000000001,22.5958]}"
77,0.1194913862840959,Hubli-Dharwad,"{""type"":""Point"",""coordinates"":[75.124,15.3647]}"
78,0.12554210743399094,Hugli,"{""type"":""Point"",""coordinates"":[88.4085,22.8964]}"
79,0.12072394743213098,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
80,0.12038115495268016,Ichalkaranji,"{""type"":""Point"",""coordinates"":[74.4605,16.6912]}"
81,0.12420441240950957,Indore,"{""type"":""Point"",""coordinates"":[75.8577,22.7196]}"
82,0.12514189575150983,Jabalpur,"{""type"":""Point"",""coordinates"":[79.9864,23.1815]}"
83,0.12916398676692945,Jaipur,"{""type"":""Point"",""coordinates"":[75.7873,26.9124]}"
84,0.13927880552489358,Jalandhar,"{""type"":""Point"",""coordinates"":[75.5762,31.326]}"
85,0.12322382796713661,Jalgaon,"{""type"":""Point"",""coordinates"":[75.5626,21.0077]}"
86,0.12219673369779682,Jalna,"{""type"":""Point"",""coordinates"":[75.8864,19.841]}"
87,0.14273090516094694,Jammu,"{""type"":""Point"",""coordinates"":[74.857,32.7266]}"
88,0.12444988026756298,Jamnagar,"{""type"":""Point"",""coordinates"":[70.0577,22.4707]}"
89,0.12533741172921856,Jamshedpur,"{""type"":""Point"",""coordinates"":[86.2029,22.8046]}"
90,0.12765814447530296,Jhansi,"{""type"":""Point"",""coordinates"":[78.5685,25.448400000000003]}"
91,0.12820030245716402,Jodhpur,"{""type"":""Point"",""coordinates"":[73.0243,26.238900000000005]}"
92,0.11924481835848284,Kadapa,"{""type"":""Point"",""coordinates"":[78.82420000000002,14.467300000000002]}"
93,0.12069163864183544,Kakinada,"{""type"":""Point"",""coordinates"":[82.2475,16.989099999999997]}"
94,0.12249117080865722,Kalyan-Dombivli,"{""type"":""Point"",""coordinates"":[73.1305,19.2403]}"
95,0.12540567790836255,Kamarhati,"{""type"":""Point"",""coordinates"":[88.3748,22.671099999999996]}"
96,0.1183717519359298,Kanchipuram,"{""type"":""Point"",""coordinates"":[79.7036,12.834200000000001]}"
97,0.12959759809283453,Kanpur,"{""type"":""Point"",""coordinates"":[80.3319,26.449900000000003]}"
98,0.12145574414436669,Karimnagar,"{""type"":""Point"",""coordinates"":[79.1288,18.438599999999997]}"
99,0.13553390823312697,Karnal,"{""type"":""Point"",""coordinates"":[76.9905,29.6857]}"
100,0.11800663906798944,Kochi,"{""type"":""Point"",""coordinates"":[76.2673,9.931200000000002]}"
101,0.12070045157645692,Kolhapur,"{""type"":""Point"",""coordinates"":[74.2433,16.704999999999995]}"
102,0.12517491454101587,Kolkata,"{""type"":""Point"",""coordinates"":[88.3639,22.5726]}"
103,0.11729509588171927,Kollam,"{""type"":""Point"",""coordinates"":[76.6141,8.8932]}"
104,0.12493963194745006,Korba,"{""type"":""Point"",""coordinates"":[82.7501,22.359499999999997]}"
105,0.12702323803256907,Kota,"{""type"":""Point"",""coordinates"":[75.8648,25.2138]}"
106,0.11837088848710475,Kozhikode,"{""type"":""Point"",""coordinates"":[75.7804,11.2588]}"
107,0.11984038744700264,Kurnool,"{""type"":""Point"",""coordinates"":[78.0373,15.828100000000001]}"
108,0.12121738812519685,Latur,"{""type"":""Point"",""coordinates"":[76.5604,18.4088]}"
109,0.13340841155948888,Loni,"{""type"":""Point"",""coordinates"":[77.288,28.7515]}"
110,0.13034854347212604,Lucknow,"{""type"":""Point"",""coordinates"":[80.9462,26.846700000000002]}"
111,0.13820263972602218,Ludhiana,"{""type"":""Point"",""coordinates"":[75.8573,30.90050000000001]}"
112,0.11755539265638842,Madurai,"{""type"":""Point"",""coordinates"":[78.1198,9.9252]}"
113,0.12503945525157237,Maheshtala,"{""type"":""Point"",""coordinates"":[88.2532,22.5086]}"
114,0.11833870894186967,Malappuram,"{""type"":""Point"",""coordinates"":[76.0748,11.0735]}"
115,0.12285161319766776,Malegaon,"{""type"":""Point"",""coordinates"":[74.5288,20.553699999999996]}"
116,0.12194377745467634,Mancherial,"{""type"":""Point"",""coordinates"":[79.4287,18.870800000000003]}"
117,0.11804215117417216,Mandya,"{""type"":""Point"",""coordinates"":[76.8951,12.524399999999998]}"
118,0.11911347978740813,Mangalore,"{""type"":""Point"",""coordinates"":[74.856,12.9141]}"
119,0.13104135883429846,Mathura,"{""type"":""Point"",""coordinates"":[77.6737,27.492400000000004]}"
120,0.13387409567223443,Meerut,"{""type"":""Point"",""coordinates"":[77.7064,28.984499999999997]}"
121,0.12239546589529461,Mira-Bhayandar,"{""type"":""Point"",""coordinates"":[72.8544,19.295200000000005]}"
122,0.13371070742978503,Moradabad,"{""type"":""Point"",""coordinates"":[78.7733,28.8386]}"
123,0.1223633988205123,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
124,0.1292920978164589,Munger,"{""type"":""Point"",""coordinates"":[86.4735,25.3746]}"
125,0.13474394389753205,Muzaffarnagar,"{""type"":""Point"",""coordinates"":[77.7041,29.473700000000004]}"
126,0.13004847788082013,Muzaffarpur,"{""type"":""Point"",""coordinates"":[85.3647,26.1209]}"
127,0.11801130002321121,Mysore,"{""type"":""Point"",""coordinates"":[76.6394,12.295800000000002]}"
128,0.12384302547644573,Nagpur,"{""type"":""Point"",""coordinates"":[79.0882,21.145800000000005]}"
129,0.12553226558427988,Naihati,"{""type"":""Point"",""coordinates"":[88.4194,22.894800000000004]}"
130,0.12194977018792516,Nanded,"{""type"":""Point"",""coordinates"":[77.321,19.138299999999997]}"
131,0.12237028028193343,Nashik,"{""type"":""Point"",""coordinates"":[73.7898,19.997500000000002]}"
132,0.12260511147974534,Navi Mumbai,"{""type"":""Point"",""coordinates"":[73.0297,19.033]}"
133,0.12345088590603978,Navsari,"{""type"":""Point"",""coordinates"":[72.952,20.946700000000003]}"
134,0.11935276954308072,Nellore,"{""type"":""Point"",""coordinates"":[79.98650000000002,14.442600000000002]}"
135,0.12161062785558414,Nizamabad,"{""type"":""Point"",""coordinates"":[78.0941,18.6725]}"
136,0.13300819621318535,Noida,"{""type"":""Point"",""coordinates"":[77.391,28.535499999999995]}"
137,0.1179670256966139,Ozhukarai,"{""type"":""Point"",""coordinates"":[79.7852,11.934099999999999]}"
138,0.11821647533037458,Palakkad,"{""type"":""Point"",""coordinates"":[76.6548,10.786700000000002]}"
139,0.12757513789947164,Pali,"{""type"":""Point"",""coordinates"":[73.3234,25.772500000000004]}"
140,0.12545371683088857,Panihati,"{""type"":""Point"",""coordinates"":[88.3748,22.690200000000004]}"
141,0.134850904702938,Panipat,"{""type"":""Point"",""coordinates"":[76.9635,29.390900000000002]}"
142,0.12200851590254047,Parbhani,"{""type"":""Point"",""coordinates"":[76.77670000000002,19.2704]}"
143,0.13685329776612096,Patiala,"{""type"":""Point"",""coordinates"":[76.3869,30.3398]}"
144,0.12952533591983395,Patna,"{""type"":""Point"",""coordinates"":[85.1376,25.5941]}"
145,0.12142245842094376,Pimpri-Chinchwad,"{""type"":""Point"",""coordinates"":[73.7997,18.629799999999996]}"
146,0.11804022652446153,Puducherry,"{""type"":""Point"",""coordinates"":[79.8083,11.9416]}"
147,0.12131434515600838,Pune,"{""type"":""Point"",""coordinates"":[73.8567,18.5204]}"
148,0.1298485304850159,Purnia,"{""type"":""Point"",""coordinates"":[87.4753,25.7771]}"
149,0.11995400350079762,Raichur,"{""type"":""Point"",""coordinates"":[77.3566,16.2076]}"
150,0.1239744989363213,Raipur,"{""type"":""Point"",""coordinates"":[81.6296,21.2514]}"
151,0.12074095734925462,Rajahmundry,"{""type"":""Point"",""coordinates"":[81.804,17.0005]}"
152,0.124434951200817,Rajkot,"{""type"":""Point"",""coordinates"":[70.8022,22.3039]}"
153,0.12373020988668404,Rajnandgaon,"{""type"":""Point"",""coordinates"":[81.0299,21.097399999999997]}"
154,0.133548393023071,Rampur,"{""type"":""Point"",""coordinates"":[79.025,28.789499999999997]}"
155,0.12574863718859314,Ranchi,"{""type"":""Point"",""coordinates"":[85.3096,23.3441]}"
156,0.12480015880806793,Ratlam,"{""type"":""Point"",""coordinates"":[75.037,23.3342]}"
157,0.12160206533470196,Rayagada,"{""type"":""Point"",""coordinates"":[83.4162,19.1726]}"
158,0.13359442754365627,Rohtak,"{""type"":""Point"",""coordinates"":[76.6066,28.895500000000002]}"
159,0.13546680137613,Roorkee,"{""type"":""Point"",""coordinates"":[77.888,29.8543]}"
160,0.1356772025444495,Saharanpur,"{""type"":""Point"",""coordinates"":[77.5452,29.967900000000004]}"
161,0.11811910728870786,Salem,"{""type"":""Point"",""coordinates"":[78.146,11.6643]}"
162,0.12406294149502373,Sambalpur,"{""type"":""Point"",""coordinates"":[83.9812,21.466900000000003]}"
163,0.12046329060423855,Sangli,"{""type"":""Point"",""coordinates"":[74.5815,16.8524]}"
164,0.1208589597866174,Satara,"{""type"":""Point"",""coordinates"":[74.0183,17.68049999999999]}"
165,0.1320645282775933,Shahjahanpur,"{""type"":""Point"",""coordinates"":[79.9094,27.8815]}"
166,0.1367531463083142,Shimla,"{""type"":""Point"",""coordinates"":[77.1734,31.104800000000004]}"
167,0.11884021566069601,Shivamogga,"{""type"":""Point"",""coordinates"":[75.5681,13.9299]}"
168,0.12741344582375352,Shivpuri,"{""type"":""Point"",""coordinates"":[77.657,25.423500000000004]}"
169,0.13038700160693426,Sikar,"{""type"":""Point"",""coordinates"":[75.1399,27.609399999999997]}"
170,0.13114882361521896,Siliguri,"{""type"":""Point"",""coordinates"":[88.39530000000002,26.7271]}"
171,0.1269092031421883,Singrauli,"{""type"":""Point"",""coordinates"":[82.6754,24.199]}"
172,0.13166309740902793,Sitapur,"{""type"":""Point"",""coordinates"":[80.6744,27.561900000000005]}"
173,0.121077097358071,Solapur,"{""type"":""Point"",""coordinates"":[75.90640000000002,17.6599]}"
174,0.12535729443820262,South Dumdum,"{""type"":""Point"",""coordinates"":[88.4,22.61]}"
175,0.144211675379097,Srinagar,"{""type"":""Point"",""coordinates"":[74.79730000000002,34.08370000000001]}"
176,0.12365237944881897,Surat,"{""type"":""Point"",""coordinates"":[72.8311,21.1702]}"
177,0.12241401591806869,Thane,"{""type"":""Point"",""coordinates"":[72.9781,19.2183]}"
178,0.11795609509794434,Thanjavur,"{""type"":""Point"",""coordinates"":[79.1378,10.786700000000003]}"
179,0.11824148286067665,Thrissur,"{""type"":""Point"",""coordinates"":[76.2144,10.5276]}"
