system:index,SO2_column_number_density,city,.geo
60,1.8573379845347423E-4,Firozabad,"{""type"":""Point"",""coordinates"":[78.3958,27.1591]}"
61,2.430904821811284E-4,Gandhinagar,"{""type"":""Point"",""coordinates"":[72.6369,23.215599999999995]}"
62,2.5230691342147376E-4,Gaya,"{""type"":""Point"",""coordinates"":[85.0002,24.795500000000004]}"
63,2.6144368912004633E-4,Ghaziabad,"{""type"":""Point"",""coordinates"":[77.4538,28.669200000000004]}"
64,1.664990602775605E-4,Giridih,"{""type"":""Point"",""coordinates"":[86.3077,24.184400000000004]}"
65,1.0354596156875241E-4,Gopalpur,"{""type"":""Point"",""coordinates"":[84.9053,19.2583]}"
66,1.105233365484284E-4,Gulbarga,"{""type"":""Point"",""coordinates"":[76.8343,17.329700000000003]}"
67,1.7624724034443498E-4,Guna,"{""type"":""Point"",""coordinates"":[77.311,24.6476]}"
68,7.836857676996127E-5,Guntur,"{""type"":""Point"",""coordinates"":[80.4365,16.3067]}"
69,2.1271411190788205E-4,Gurgaon,"{""type"":""Point"",""coordinates"":[77.0266,28.4595]}"
70,1.965776944792675E-4,Guwahati,"{""type"":""Point"",""coordinates"":[91.7362,26.1445]}"
71,1.0703681990936876E-4,Gwalior,"{""type"":""Point"",""coordinates"":[78.1828,26.2183]}"
72,1.7341634424061753E-4,Hanumangarh,"{""type"":""Point"",""coordinates"":[74.32940000000002,29.581800000000005]}"
73,3.540061446372444E-4,Hapur,"{""type"":""Point"",""coordinates"":[77.7759,28.7306]}"
74,2.454625234695106E-4,Hisar,"{""type"":""Point"",""coordinates"":[75.7217,29.149199999999997]}"
75,7.26530379544825E-5,Hosur,"{""type"":""Point"",""coordinates"":[77.8253,12.740100000000002]}"
76,3.4163486879880926E-4,Howrah,"{""type"":""Point"",""coordinates"":[88.26360000000001,22.5958]}"
77,2.402372584568422E-5,Hubli-Dharwad,"{""type"":""Point"",""coordinates"":[75.124,15.3647]}"
78,3.064172614762034E-4,Hugli,"{""type"":""Point"",""coordinates"":[88.4085,22.8964]}"
79,6.200706882179115E-5,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
80,7.331102456593393E-5,Ichalkaranji,"{""type"":""Point"",""coordinates"":[74.4605,16.6912]}"
81,1.4118582859840085E-4,Indore,"{""type"":""Point"",""coordinates"":[75.8577,22.7196]}"
82,1.8724907557521745E-4,Jabalpur,"{""type"":""Point"",""coordinates"":[79.9864,23.1815]}"
83,1.08251584430535E-4,Jaipur,"{""type"":""Point"",""coordinates"":[75.7873,26.9124]}"
84,2.9245152947895444E-4,Jalandhar,"{""type"":""Point"",""coordinates"":[75.5762,31.326]}"
85,1.1904374478753494E-4,Jalgaon,"{""type"":""Point"",""coordinates"":[75.5626,21.0077]}"
86,9.67911005833889E-5,Jalna,"{""type"":""Point"",""coordinates"":[75.8864,19.841]}"
87,2.669523196664506E-4,Jammu,"{""type"":""Point"",""coordinates"":[74.857,32.7266]}"
88,1.6204047091352957E-4,Jamnagar,"{""type"":""Point"",""coordinates"":[70.0577,22.4707]}"
89,5.806507769187493E-4,Jamshedpur,"{""type"":""Point"",""coordinates"":[86.2029,22.8046]}"
90,1.574384223549364E-4,Jhansi,"{""type"":""Point"",""coordinates"":[78.5685,25.4484]}"
91,1.1758147836253833E-4,Jodhpur,"{""type"":""Point"",""coordinates"":[73.0243,26.238900000000005]}"
92,5.209460343482735E-5,Kadapa,"{""type"":""Point"",""coordinates"":[78.82420000000002,14.467300000000002]}"
93,8.101498357283702E-5,Kakinada,"{""type"":""Point"",""coordinates"":[82.2475,16.989099999999997]}"
94,2.4724280310682416E-4,Kalyan-Dombivli,"{""type"":""Point"",""coordinates"":[73.1305,19.240300000000005]}"
95,3.991304930813142E-4,Kamarhati,"{""type"":""Point"",""coordinates"":[88.3748,22.671099999999996]}"
96,9.237356471992671E-5,Kanchipuram,"{""type"":""Point"",""coordinates"":[79.7036,12.8342]}"
