system:index,Aerosol_Height,City,.geo
72,1224.2460154274766,Hanumangarh,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,1394.9013501308968,Hapur,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,1208.346685664509,Hisar,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2018.3461765882098,Hosur,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,697.8933098557895,Howrah,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,1615.5559322434785,Hubli-Dharwad,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,1173.9507417559118,Hugli,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,1527.8599821774792,Hyderabad,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,1294.2147301196994,Ichalkaranji,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2120.966144319582,Indore,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,1441.2120680961352,Jabalpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,1956.5974923395922,Jaipur,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,957.4609044962781,Jalandhar,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,1236.5457682971369,Jalgaon,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,1206.8269901120027,Jalna,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,1618.372122106541,Jammu,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,Jamnagar,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2094.543938720306,Jamshedpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,1233.8995777829443,Jhansi,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,1229.8710988674202,Jodhpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,655.5130004877713,Kadapa,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,Kakinada,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,1168.0929591066852,Kalyan-Dombivli,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,1711.9996290956105,Kamarhati,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,1524.4224306889892,Kanchipuram,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,1279.1912575278066,Kanpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,1416.6871424883273,Karimnagar,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,1712.1445282907266,Karnal,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,816.1155395504361,Kochi,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1662.6704106445866,Kolhapur,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,1301.1066523246864,Kolkata,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,Kollam,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,1510.6715267378258,Korba,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,1236.4690598426387,Kota,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,Kozhikode,"{""type"":""MultiPoint"",""coordinates"":[]}"
