system:index,SoilMoi0_10cm_inst,city,.geo
64,14.957856178283691,Giridih,"{""type"":""Point"",""coordinates"":[86.3077,24.184400000000004]}"
65,13.862548828125,Gopalpur,"{""type"":""Point"",""coordinates"":[84.9053,19.2583]}"
66,21.063735961914062,Gulbarga,"{""type"":""Point"",""coordinates"":[76.8343,17.329700000000003]}"
67,16.64716339111328,Guna,"{""type"":""Point"",""coordinates"":[77.311,24.6476]}"
68,20.231117248535156,Guntur,"{""type"":""Point"",""coordinates"":[80.4365,16.3067]}"
69,18.523679733276367,Gurgaon,"{""type"":""Point"",""coordinates"":[77.0266,28.4595]}"
70,23.1627254486084,Guwahati,"{""type"":""Point"",""coordinates"":[91.7362,26.1445]}"
71,19.674766540527344,Gwalior,"{""type"":""Point"",""coordinates"":[78.1828,26.2183]}"
72,13.140352249145508,Hanumangarh,"{""type"":""Point"",""coordinates"":[74.32940000000002,29.581800000000005]}"
73,12.95543098449707,Hapur,"{""type"":""Point"",""coordinates"":[77.7759,28.7306]}"
74,13.108670234680176,Hisar,"{""type"":""Point"",""coordinates"":[75.7217,29.149199999999997]}"
75,20.851299285888672,Hosur,"{""type"":""Point"",""coordinates"":[77.8253,12.740100000000002]}"
76,27.93671226501465,Howrah,"{""type"":""Point"",""coordinates"":[88.26360000000001,22.5958]}"
77,14.74057674407959,Hubli-Dharwad,"{""type"":""Point"",""coordinates"":[75.124,15.3647]}"
78,23.351835250854492,Hugli,"{""type"":""Point"",""coordinates"":[88.4085,22.8964]}"
79,24.72020149230957,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
80,21.11393165588379,Ichalkaranji,"{""type"":""Point"",""coordinates"":[74.4605,16.6912]}"
81,24.347896575927734,Indore,"{""type"":""Point"",""coordinates"":[75.8577,22.7196]}"
82,20.63213348388672,Jabalpur,"{""type"":""Point"",""coordinates"":[79.9864,23.1815]}"
83,18.31437873840332,Jaipur,"{""type"":""Point"",""coordinates"":[75.7873,26.9124]}"
84,17.5738525390625,Jalandhar,"{""type"":""Point"",""coordinates"":[75.5762,31.326]}"
85,20.033445358276367,Jalgaon,"{""type"":""Point"",""coordinates"":[75.5626,21.0077]}"
86,20.7307186126709,Jalna,"{""type"":""Point"",""coordinates"":[75.8864,19.841]}"
87,21.365821838378906,Jammu,"{""type"":""Point"",""coordinates"":[74.857,32.7266]}"
