system:index,CO_column_number_density,city,.geo
63,0.04391212452617192,Ghaziabad,"{""type"":""Point"",""coordinates"":[77.4538,28.669200000000004]}"
64,0.045106864630679464,Giridih,"{""type"":""Point"",""coordinates"":[86.3077,24.184400000000004]}"
65,0.047208893352985136,Gopalpur,"{""type"":""Point"",""coordinates"":[84.9053,19.2583]}"
66,0.04156596992274795,Gulbarga,"{""type"":""Point"",""coordinates"":[76.8343,17.329700000000003]}"
67,0.03908165262555041,Guna,"{""type"":""Point"",""coordinates"":[77.311,24.6476]}"
68,0.043182539839141824,Guntur,"{""type"":""Point"",""coordinates"":[80.4365,16.3067]}"
69,0.04215752542378573,Gurgaon,"{""type"":""Point"",""coordinates"":[77.0266,28.4595]}"
70,0.04812159132115422,Guwahati,"{""type"":""Point"",""coordinates"":[91.7362,26.1445]}"
71,0.040713245978980135,Gwalior,"{""type"":""Point"",""coordinates"":[78.1828,26.2183]}"
72,0.03931053148784017,Hanumangarh,"{""type"":""Point"",""coordinates"":[74.32940000000002,29.581800000000005]}"
73,0.042502378585931366,Hapur,"{""type"":""Point"",""coordinates"":[77.7759,28.7306]}"
74,0.03955645781427164,Hisar,"{""type"":""Point"",""coordinates"":[75.7217,29.149199999999997]}"
75,0.03531558157622793,Hosur,"{""type"":""Point"",""coordinates"":[77.8253,12.740100000000002]}"
76,0.04893352554404415,Howrah,"{""type"":""Point"",""coordinates"":[88.26360000000001,22.5958]}"
77,0.03770956040532661,Hubli-Dharwad,"{""type"":""Point"",""coordinates"":[75.124,15.3647]}"
78,0.04700432876816897,Hugli,"{""type"":""Point"",""coordinates"":[88.4085,22.8964]}"
79,0.04205946109753288,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
80,0.039718833285031105,Ichalkaranji,"{""type"":""Point"",""coordinates"":[74.4605,16.6912]}"
81,0.03875717145802832,Indore,"{""type"":""Point"",""coordinates"":[75.8577,22.7196]}"
82,,Jabalpur,"{""type"":""Point"",""coordinates"":[79.9864,23.1815]}"
83,0.039159722811807886,Jaipur,"{""type"":""Point"",""coordinates"":[75.7873,26.9124]}"
84,0.04073658744690213,Jalandhar,"{""type"":""Point"",""coordinates"":[75.5762,31.326]}"
85,0.041758494894307135,Jalgaon,"{""type"":""Point"",""coordinates"":[75.5626,21.0077]}"
86,0.03991891219732674,Jalna,"{""type"":""Point"",""coordinates"":[75.8864,19.841]}"
87,0.0397188807197652,Jammu,"{""type"":""Point"",""coordinates"":[74.857,32.7266]}"
88,0.037575773012566975,Jamnagar,"{""type"":""Point"",""coordinates"":[70.0577,22.4707]}"
89,0.05433724940876556,Jamshedpur,"{""type"":""Point"",""coordinates"":[86.2029,22.8046]}"
90,0.04158666528458444,Jhansi,"{""type"":""Point"",""coordinates"":[78.5685,25.4484]}"
91,0.03664030105140237,Jodhpur,"{""type"":""Point"",""coordinates"":[73.0243,26.238900000000005]}"
92,0.03978149754510543,Kadapa,"{""type"":""Point"",""coordinates"":[78.82420000000002,14.467300000000002]}"
93,0.04428157269266755,Kakinada,"{""type"":""Point"",""coordinates"":[82.2475,16.989099999999997]}"
94,0.04153493063405279,Kalyan-Dombivli,"{""type"":""Point"",""coordinates"":[73.1305,19.240300000000005]}"
95,0.04922508398292117,Kamarhati,"{""type"":""Point"",""coordinates"":[88.3748,22.671099999999996]}"
96,0.038952987039624284,Kanchipuram,"{""type"":""Point"",""coordinates"":[79.7036,12.8342]}"
97,0.04381995810302729,Kanpur,"{""type"":""Point"",""coordinates"":[80.3319,26.4499]}"
98,0.04422040894947176,Karimnagar,"{""type"":""Point"",""coordinates"":[79.1288,18.438599999999997]}"
99,0.04140777674181551,Karnal,"{""type"":""Point"",""coordinates"":[76.9905,29.6857]}"
100,0.04165576946111571,Kochi,"{""type"":""Point"",""coordinates"":[76.2673,9.9312]}"
101,0.04031774024493823,Kolhapur,"{""type"":""Point"",""coordinates"":[74.2433,16.704999999999995]}"
102,0.04968495968501013,Kolkata,"{""type"":""Point"",""coordinates"":[88.3639,22.5726]}"
103,0.03896268826825374,Kollam,"{""type"":""Point"",""coordinates"":[76.6141,8.8932]}"
104,0.04828074067628315,Korba,"{""type"":""Point"",""coordinates"":[82.7501,22.359499999999997]}"
105,0.03884363627669158,Kota,"{""type"":""Point"",""coordinates"":[75.8648,25.2138]}"
106,0.04198313668360662,Kozhikode,"{""type"":""Point"",""coordinates"":[75.7804,11.2588]}"
107,0.04166975617843287,Kurnool,"{""type"":""Point"",""coordinates"":[78.0373,15.828100000000001]}"
108,0.04065280505014462,Latur,"{""type"":""Point"",""coordinates"":[76.5604,18.408799999999996]}"
109,0.042885118024632865,Loni,"{""type"":""Point"",""coordinates"":[77.288,28.7515]}"
110,0.04484631993502845,Lucknow,"{""type"":""Point"",""coordinates"":[80.9462,26.846699999999995]}"
111,0.04086990476182145,Ludhiana,"{""type"":""Point"",""coordinates"":[75.8573,30.90050000000001]}"
112,0.036880952985911264,Madurai,"{""type"":""Point"",""coordinates"":[78.1198,9.925199999999998]}"
113,0.04937960938330908,Maheshtala,"{""type"":""Point"",""coordinates"":[88.2532,22.5086]}"
114,0.04067802457605398,Malappuram,"{""type"":""Point"",""coordinates"":[76.0748,11.073499999999997]}"
115,0.0389141080276966,Malegaon,"{""type"":""Point"",""coordinates"":[74.5288,20.553699999999996]}"
116,0.04436109728819899,Mancherial,"{""type"":""Point"",""coordinates"":[79.4287,18.870800000000003]}"
117,0.03619090247931167,Mandya,"{""type"":""Point"",""coordinates"":[76.8951,12.524399999999998]}"
118,0.040944922663670266,Mangalore,"{""type"":""Point"",""coordinates"":[74.856,12.9141]}"
119,0.04133846995174479,Mathura,"{""type"":""Point"",""coordinates"":[77.6737,27.4924]}"
120,0.04283340910484463,Meerut,"{""type"":""Point"",""coordinates"":[77.7064,28.984499999999997]}"
121,0.041707592131823644,Mira-Bhayandar,"{""type"":""Point"",""coordinates"":[72.8544,19.295200000000005]}"
122,0.04314537069421082,Moradabad,"{""type"":""Point"",""coordinates"":[78.7733,28.8386]}"
123,0.0426785162739389,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
124,0.046713318858813635,Munger,"{""type"":""Point"",""coordinates"":[86.4735,25.3746]}"
125,0.042447979440202656,Muzaffarnagar,"{""type"":""Point"",""coordinates"":[77.7041,29.473700000000004]}"
126,0.04646140394381234,Muzaffarpur,"{""type"":""Point"",""coordinates"":[85.3647,26.1209]}"
127,0.035090196149747954,Mysore,"{""type"":""Point"",""coordinates"":[76.6394,12.295800000000002]}"
128,0.043996749597895624,Nagpur,"{""type"":""Point"",""coordinates"":[79.0882,21.145800000000005]}"
129,0.04723417681079909,Naihati,"{""type"":""Point"",""coordinates"":[88.4194,22.894800000000004]}"
130,0.042766195580762285,Nanded,"{""type"":""Point"",""coordinates"":[77.321,19.138299999999997]}"
131,0.03759311814899208,Nashik,"{""type"":""Point"",""coordinates"":[73.7898,19.997500000000002]}"
132,0.043527267567516695,Navi Mumbai,"{""type"":""Point"",""coordinates"":[73.0297,19.033]}"
133,0.04198456037288367,Navsari,"{""type"":""Point"",""coordinates"":[72.952,20.946700000000003]}"
134,,Nellore,"{""type"":""Point"",""coordinates"":[79.98650000000002,14.442600000000002]}"
135,0.042710795981418075,Nizamabad,"{""type"":""Point"",""coordinates"":[78.0941,18.6725]}"
136,0.04443816439212612,Noida,"{""type"":""Point"",""coordinates"":[77.391,28.535500000000003]}"
137,0.03806577609663241,Ozhukarai,"{""type"":""Point"",""coordinates"":[79.7852,11.934099999999999]}"
138,0.04045226601852152,Palakkad,"{""type"":""Point"",""coordinates"":[76.6548,10.7867]}"
139,0.03638061427340531,Pali,"{""type"":""Point"",""coordinates"":[73.3234,25.772500000000004]}"
140,0.0490942370771966,Panihati,"{""type"":""Point"",""coordinates"":[88.3748,22.690200000000004]}"
141,0.04058323563862931,Panipat,"{""type"":""Point"",""coordinates"":[76.9635,29.390900000000002]}"
142,0.041371140979372265,Parbhani,"{""type"":""Point"",""coordinates"":[76.77670000000002,19.2704]}"
143,0.040893371677160666,Patiala,"{""type"":""Point"",""coordinates"":[76.3869,30.3398]}"
144,0.048128692175387566,Patna,"{""type"":""Point"",""coordinates"":[85.1376,25.5941]}"
145,0.03947496106274026,Pimpri-Chinchwad,"{""type"":""Point"",""coordinates"":[73.7997,18.629799999999996]}"
146,0.038060399470542405,Puducherry,"{""type"":""Point"",""coordinates"":[79.8083,11.941600000000001]}"
147,0.038952269349711584,Pune,"{""type"":""Point"",""coordinates"":[73.8567,18.5204]}"
148,0.047471297974857295,Purnia,"{""type"":""Point"",""coordinates"":[87.4753,25.7771]}"
149,0.040923475440230346,Raichur,"{""type"":""Point"",""coordinates"":[77.3566,16.2076]}"
150,0.04934680293910639,Raipur,"{""type"":""Point"",""coordinates"":[81.6296,21.2514]}"
151,0.044488201343817,Rajahmundry,"{""type"":""Point"",""coordinates"":[81.804,17.0005]}"
152,0.03719207205664681,Rajkot,"{""type"":""Point"",""coordinates"":[70.8022,22.3039]}"
153,0.046332946065315135,Rajnandgaon,"{""type"":""Point"",""coordinates"":[81.0299,21.0974]}"
