system:index,City,PM25,.geo
71,Gwalior,0.04360064060519775,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,Hanumangarh,0.3062564688385861,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,Hapur,0.062355122617821904,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,Hisar,0.26366926732140716,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,Hosur,-0.4219644531316167,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,Howrah,-0.28966571105371336,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,Hubli-Dharwad,-0.4405075675572954,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,Hugli,-0.3145408660532423,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,Hyderabad,-0.19993125692014158,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,Ichalkaranji,-0.3379007489697293,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,Indore,-0.029156398692165016,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,Jabalpur,-0.24172617355014475,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,Jaipur,0.19133973274712446,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,Jalandhar,0.20667835758775815,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,Jalgaon,-0.11977313098715534,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,Jalna,-0.15766945228776602,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,Jammu,0.06832423760470871,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,Jamnagar,0.28078208005244615,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,Jamshedpur,-0.25246417309370145,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,Jhansi,-0.08079770261898893,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,Jodhpur,0.39219867158749844,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,Kadapa,-0.2982940738177286,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,Kakinada,-0.3927993991739865,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,Kalyan-Dombivli,-0.0504112056532867,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,Kamarhati,-0.22640902230711443,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,Kanchipuram,-0.36881843031686473,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,Kanpur,0.1481912434791593,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,Karimnagar,-0.28768374642239314,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,Karnal,0.21514145596235779,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,Kochi,-0.6236003601380027,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,Kolhapur,-0.37256450007444963,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,Kolkata,-0.2025876333486308,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,Kollam,-0.6081258341704435,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,Korba,-0.24811171238343308,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,Kota,-0.08519598091326956,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,Kozhikode,-0.6742983365113747,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,Kurnool,-0.26726855498565066,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,Latur,-0.33073686723123774,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,Loni,0.21602467859875912,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,Lucknow,0.17868936300376145,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,Ludhiana,0.212586823489898,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,Madurai,-0.39355238913070245,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,Maheshtala,-0.2678075961422324,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,Malappuram,-0.6486424457665904,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,Malegaon,-0.07903843681884838,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,Mancherial,-0.28814773137777094,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,Mandya,-0.5604887588824504,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,Mangalore,-0.5732087178261012,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,Mathura,0.2058193742743136,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,Meerut,0.15612196393013075,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,Mira-Bhayandar,-0.1684101702358719,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,Moradabad,0.13588781683012638,"{""type"":""MultiPoint"",""coordinates"":[]}"
